GERAL	ÍTEM	STATUS	GRUPO	FAMÍLIA	ESPÉCIE	NOME VULGAR
30	1	CRITICAMENTE EM PERIGO	Aves	Tinamidae	Tinamus solitarius(Vieillot, 1819)	Macuco
31	2	EM PERIGO	Aves	Tinamidae	Crypturellus variegatus (Gmelin, 1789)	Chororão
32	3	CRITICAMENTE EM PERIGO	Aves	Tinamidae	Crypturellus noctivagus (Wied, 1820)	Jaó-do-sul
33	4	EM PERIGO	Aves	Procellariidae	Pterodroma arminjoniana (Giglioli & Salvadori, 1868)	Pardela-da-trindade
34	5	CRITICAMENTE EM PERIGO	Aves	Procellariidae	Puffinus lherminieri Lesson, 1839	Pardela-de-asa-larga
35	6	EM PERIGO	Aves	Sulidae	Sula sula (Linnaeus, 1766)	Atobá-de-pé-vermelho
36	7	CRITICAMENTE EM PERIGO	Aves	Fregatidae	Fregata minor (Gmelin, 1789)	Tesourão-grande
37	8	CRITICAMENTE EM PERIGO	Aves	Fregatidae	Fregata ariel Gray, 1845	Tesourão-pequeno
38	9	CRITICAMENTE EM PERIGO	Aves	Ciconiidae	Ciconia maguari (Gmelin, 1789)	Maguari, João-grande
39	10	VULNERÁVEL	Aves	Cathartidae	Sarcoramphus papa (Linnaeus, 1758)	Urubu-rei
40	11	VULNERÁVEL	Aves	Accipitridae	Leucopternis polionota (Kaup, 1847)	Gavião-pombo-grande
41	12	CRITICAMENTE EM PERIGO	Aves	Accipitridae	Morphnus guianensis (Daudin, 1800)	Uiraçu-falso
42	13	CRITICAMENTE EM PERIGO	Aves	Accipitridae	Harpia harpyja (Linnaeus, 1758)	Águia-real, Uiraçu-verdadeiro
43	14	VULNERÁVEL	Aves	Accipitridae	Spizastur melanoleucus (Vieillot, 1816)	Gavião-pato
44	15	CRITICAMENTE EM PERIGO	Aves	Accipitridae	Spizaetus ornatus (Daudin, 1801)	Gavião-de-penacho
45	16	VULNERÁVEL	Aves	Accipitridae	Spizaetus tyrannus (Wied, 1820)	Gavião-pega-macaco
46	17	VULNERÁVEL	Aves	Accipitridae	Circus buffoni (Gmelin, 1788)	Gavião-do-mangue
47	18	VULNERÁVEL	Aves	Cracidae	Penelope obscura Temminck, 1815	Jacuguaçu, Jacuaçu
48	19	CRITICAMENTE EM PERIGO	Aves	Cracidae	Crax blumembachii Spix, 1825	Mutum, Mutum-de-penacho
49	20	EM PERIGO	Aves	Phasianidae	Odontophorus capueira (Spix, 1825)	Uru, Capoeira
50	21	CRITICAMENTE EM PERIGO	Aves	Columbidae	Claravis godefrida (Temminck, 1811)	Pararu, Pomba-espelho
51	22	CRITICAMENTE EM PERIGO	Aves	Columbidae	Geotrygon violacea (Temminck, 1810)	Juriti-vermelha, Juriti-roxa
