GRUPO	CLASSE	ORDEM	FAMÍLIA	ESPÉCIE OU SUBESPÉCIE	CATEGORIA DE AMEAÇA
Aves	Aves	Accipitriformes	Accipitridae	Accipiter poliogaster (Temminck, 1824)	CR
Aves	Aves	Gruiformes	Rallidae	Amaurolimnas concolor (Gosse, 1847)	EN
Aves	Aves	Psittaciformes	Psittacidae	Amazona farinosa (Boddaert, 1783)	EN
Aves	Aves	Psittaciformes	Psittacidae	Amazona rhodocorytha (Salvadori, 1890)	VU
Aves	Aves	Psittaciformes	Psittacidae	Amazona vinacea (Kuhl, 1820)	EN
Aves	Aves	Charadriiformes	Sternidae	Anous minutus Boie, 1844	CR
Aves	Aves	Charadriiformes	Sternidae	Anous stolidus (Linnaeus, 1758)	EN
Aves	Aves	Passeriformes	Motacillidae	Anthus hellmayri Hartert, 1909	EN
Aves	Aves	Caprimulgiformes	Caprimulgidae	Antrostomus rufus (Boddaert, 1783)	VU
Aves	Aves	Passeriformes	Furnariidae	Asthenes moreirae (Miranda-Ribeiro, 1906)	CR
Aves	Aves	Passeriformes	Tyrannidae	Attila spadiceus uropygiatus (Wied, 1831)	EN
Aves	Aves	Coraciiformes	Momotidae	Baryphthengus ruficapillus (Vieillot, 1818)	EN
Aves	Aves	Passeriformes	Thamnophilidae	Batara cinerea (Vieillot, 1819)	VU
Aves	Aves	Strigiformes	Strigidae	Bubo virginianus (Gmelin, 1788)	EN
Aves	Aves	Accipitriformes	Accipitridae	Buteo nitidus (Latham, 1790)	VU
Aves	Aves	Charadriiformes	Scolopacidae	Calidris pusilla (Linnaeus, 1766)	EN
Aves	Aves	Passeriformes	Cotingidae	Carpornis cucullata (Swainson, 1821)	VU
Aves	Aves	Passeriformes	Cotingidae	Carpornis melanocephala (Wied, 1820)	EN
Aves	Aves	Piciformes	Picidae	Celeus flavus subflavus Sclater & Salvin, 1877	CR
Aves	Aves	Piciformes	Picidae	Celeus torquatus (Boddaert, 1783)	CR
Aves	Aves	Passeriformes	Pipridae	Ceratopipra rubrocapilla (Temminck, 1821)	VU
Aves	Aves	Passeriformes	Formicariidae	Chamaeza campanisona (Lichtenstein, 1823)	EN
Aves	Aves	Galbuliformes	Bucconidae	Chelidoptera tenebrosa brasiliensis Sclater, 1862	VU
Aves	Aves	Passeriformes	Pipridae	Chiroxiphia pareola (Linnaeus, 1766)	CR
Aves	Aves	Passeriformes	Furnariidae	Cichlocolaptes leucophrus (Jardine & Selby, 1830)	EN
Aves	Aves	Passeriformes	Turdidae	Cichlopsis leucogenys Cabanis, 1851	CR
Aves	Aves	Ciconiiformes	Ciconiidae	Ciconia maguari (Gmelin, 1789)	EN
Aves	Aves	Accipitriformes	Accipitridae	Circus buffoni (Gmelin, 1788)	VU
Aves	Aves	Columbiformes	Columbidae	Claravis geoffroyi (Temminck, 1811)	CR
Aves	Aves	Passeriformes	Rhynchocyclidae	Corythopis delalandi (Lesson, 1831)	VU
Aves	Aves	Passeriformes	Cotingidae	Cotinga maculata (Statius Muller, 1776)	CR
Aves	Aves	Galliformes	Cracidae	Crax blumenbachii Spix, 1825	CR
Aves	Aves	Tinamiformes	Tinamidae	Crypturellus noctivagus (Wied, 1820)	CR
Aves	Aves	Tinamiformes	Tinamidae	Crypturellus variegatus (Gmelin, 1789)	EN
Aves	Aves	Passeriformes	Cardinalidae	Cyanoloxia brissonii sterea Oberholser, 1901	CR
Aves	Aves	Apodiformes	Trochilidae	Discosura langsdorffi (Temminck, 1821)	CR
Aves	Aves	Passeriformes	Pipridae	Dixiphia pipra (Linnaeus, 1758)	VU
Aves	Aves	Passeriformes	Thamnophilidae	Drymophila genei (Filippi, 1847)	EN
Aves	Aves	Passeriformes	Thamnophilidae	Dysithamnus plumbeus (Wied, 1831)	VU
Aves	Aves	Passeriformes	Rhinocryptidae	Eleoscytalopus indigoticus (Wied, 1831)	EN
Aves	Aves	Falconiformes	Falconidae	Falco deiroleucus Temminck, 1825	VU
Aves	Aves	Passeriformes	Formicariidae	Formicarius colma ruficeps (Spix, 1824)	CR
Aves	Aves	Suliformes	Fregatidae	Fregata ariel (Gray, 1845)	CR
Aves	Aves	Suliformes	Fregatidae	Fregata minor (Gmelin, 1789)	CR
Aves	Aves	Columbiformes	Columbidae	Geotrygon violacea (Temminck, 1809)	CR
Aves	Aves	Strigiformes	Strigidae	Glaucidium minutissimum (Wied, 1830)	VU
Aves	Aves	Apodiformes	Trochilidae	Glaucis dohrnii (Bourcier & Mulsant, 1852)	CR
Aves	Aves	Passeriformes	Dendrocolaptidae	Glyphorynchus spirurus (Vieillot, 1819)	EN
Aves	Aves	Passeriformes	Grallariidae	Grallaria varia imperator (Lafresnaye, 1842)	EN
Aves	Aves	Charadriiformes	Sternidae	Gygis alba alba (Sparrman, 1786)	EN
Aves	Aves	Accipitriformes	Accipitridae	Harpagus bidentatus (Latham, 1790)	VU
Aves	Aves	Accipitriformes	Accipitridae	Harpia harpyja (Linnaeus, 1758)	CR
Aves	Aves	Gruiformes	Heliornithidae	Heliornis fulica (Boddaert, 1783)	EN
Aves	Aves	Passeriformes	Rhynchocyclidae	Hemitriccus orbitatus (Wied, 1831)	EN
Aves	Aves	Caprimulgiformes	Caprimulgidae	Hydropsalis forcipata (Nitzsch, 1840)	CR
Aves	Aves	Passeriformes	Thamnophilidae	Hypoedaleus guttatus (Vieillot, 1816)	VU
Aves	Aves	Passeriformes	Tityridae	Iodopleura pipra (Lesson, 1831)	EN
