Classe	Ordem	Família	Nome Científico	Autor e data	Nome popular	Critério IUCN	Categoria
Aves	Passeriformes	Emberezidae	Oryzoborus maximiliani	(Cabanis, 1851)	Bicudo-verdadeiro	Criticamente em perigo Ad2, B1,  B2a, B2biii	Criticamente em perigo
Aves	Piciformes	Picidae	Celeus torquatus pieteroyensi	Oren, 1992	Pica-pau-de-coleira	Em perigo B1, B2bii	Em perigo
Aves	Galliformes	Cracidae	Crax fasciolata pinima	(Pelzeln, 1870)	Mutum-de-penacho	Em perigo Ac2, Ad2, B1	Em perigo
Aves	Anseriformes	Anatidae	Phlegopsis nigromaculata  paraensis	Hellmayr, 1904	Mãe-de-taoca-pintada	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Gruiformes	Psophiidae	Psophia viridis obscura	(Pelzeln, 1857)	Jacamim-de-costas-verdes	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Psittaciformes	Psittacidae	Pyrrhura perlata lepida	(Wagler, 1832)	Tiriba-pérola	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Furnariidae	Synallaxis rutilans omissa	Hartert, 1901	João-teneném-castanho	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Thraupidae	Tangara velia signata	(Hellmayr, 1905)	Saíra-diamante	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Dendrocolaptidae	Dendrexetastes rufigula  paraensis	Lorenz, 1895	Arapaçu-canela-de-Belém	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Dendrocolaptidae	Dendrocincla merula badia	(Zimmer, 1934)	Arapaçu-da-taoca-maranhense	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Dendrocolaptidae	Dendrocolaptes certhia medius	(Todd, 1920)	Arapaçu-barrado-do-nordeste	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Psittaciformes	Psittacidae	Amazona ochrocephala  xantholaema	Berlepsch, 1913	Papagaio-campeiro	Vulnerável Ad2, B2a, B2bii	Vulnerável
Aves	Psittaciformes	Psittacidae	Anodorhynchus hyacinthinus	(Latham, 1790)	Arara-azul-grande	Vulnerável Ad2, B2a, B2bii, C2ai	Vulnerável
Aves	Psittaciformes	Psittacidae	Aratinga pintoi	Silveira, Lima &  Hofling, 2005	Cacaué	Vulnerável Acd2, B1, B2a	Vulnerável
Aves	Passeriformes	Thamnophilidae	Cercomacra ferdinandi	(Snethlage, 1928)	Chororó-tocantinense	Vulnerável B1, B2, B2a, B2bii	Vulnerável
Aves	Passeriformes	Emberezidae	Charitospiza eucosma	(Oberholser, 1905)	Mineirinho	Vulnerável B1, B2a, B2iii	Vulnerável
Aves	Passeriformes	Emberezidae	Coryphaspiza melanotis  marajoara	Sick, 1967	Tico-tico-do-campo	Vulnerável B1, B2a, B2iii	Vulnerável
Aves	Passeriformes	Dendrocolaptidae	Deconychura longicauda  zimmeri	Pinto, 1974	Arapaçu-rabudo	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Tyrannidae	Euscarthmus rufomarginatus	(Pelzeln, 1868)	Maria-corruíra	Vulnerável B1, B2a, B2iii	Vulnerável
Aves	Psittaciformes	Psittacidae	Guaruba guarouba	(Gmelin, 1788)	Ararajuba	Vulnerável Ad2, B2a, B2bii, C2ai	Vulnerável
Aves	Falconiformes	Accipitridae	Harpyhaliaetus coronatus	(Vieillot, 1817)	Águia-cinzenta	Vulnerável B2, B2a, B2iii	Vulnerável
Aves	Passeriformes	Thamnophilidae	Myrmotherula klagesi	Todd, 1927	Choquinha-do-Tapajós	Vulnerável B1, B2a, B2i, B2iii	Vulnerável
Aves	Piciformes	Picidae	Piculus chrysochloros paraensis	(Snethlage, 1907)	Pica-pau-dourado-escuro	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Pipridae	Piprites chloris griseicens	Novaes, 1964	Papinho-amarelo	Em perigo B1, B2, B2bi, B2biii	Em perigo
Aves	Psittaciformes	Psittacidae	Propyrrhura maracana	(Vieillot, 1816)	Maracanã	Vulnerável Ad2, B2a, B2bii, C2ai	Vulnerável
Aves	Piciformes	Ramphastidae	Pteroglossus bitorquatus  bitorquatus	Vigors, 1826	Araçari-de-pescoço-vermelho	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Thamnophilidae	Sakesphorus luctuosus  araguayae	Hellmayr, 1908	Choca d´água do Araguaia	Vulnerável B2a, B2bii, B2biii	Vulnerável
Aves	Charadriiformes	Sternidae	Thalasseus maximus	(Boddaert, 1783)	Trinta-réis real	Vulnerável B1, B2, C1	Vulnerável
Aves	Passeriformes	Thamnophilidae	Thamnophilus aethiops incertus	Pelzeln, 1869	Choca lisa	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Apodiformes	Trochilidae	Threnetes leucurus medianus	Hellmayr, 1929	Balança-rabo-de-garganta-preta	Em perigo B1, B2bi, B2biii	Em perigo
Aves	Passeriformes	Tyrannidae	Tolmomyias assimilis paraensis	Zimmer, 1939	Bico-chato-da-copa-Paraense	Em perigo B1, B2, B2bi, B2biii	Em perigo
