Nome científico	Categoria	Nome Popular
Alectrurus tricolor (Vieillot, 1816)	EN	Galito
Amazona brasiliensis (Linnaeus, 1758)	EN	Papagaio-da-cara-roxa
Anhima cornuta (Linnaeus, 1766)	EN	Anhuma
Antilophia galeata (Lichtenstein, 1823)	CR	Soldadinho
Ara ararauna (Linnaeus, 1758)	CR	Arara-canindé
Ara chloropterus Gray, 1859	CR	Arara-vermelha
Basileuterus flaveolus (Baird, 1865)	VU	Canário-do-mato
Basileuterus leucophrys Pelzeln, 1868	VU	pula-pula-de-sobrancelha
Biatas nigropectus (Lafresnaye, 1850)	VU	Chocão-de-bigode
Buteogallus aequinoctialis (Gmelin, 1788)	EN	Gavião-caranguejeiro
Caprimulgus sericocaudatus (Cassin, 1849)	EN	Bacurau-rabo-de-seda
Carpornis melanocephala (Wied, 1820)	VU	pião-batata
Chondrohierax uncinatus (Temminck, 1822)	VU	Gavião-caracoleiro
Claravis godefrida (Temminck, 1811)	CR	Paruru
Conirostrum bicolor (Vieillot, 1807)	VU	Figuinha-do-mangue
Crax fasciolata Spix, 1825	CR	Mutum-de-penacho
Crypturellus noctivagus (Wied, 1820)	EN	jaó-do-litoral
Crypturellus undulatus (Temminck, 1815)	CR	Jaó
Culicivora caudacuta (Vieillot, 1818)	VU	Papa-moscas-do-campo
Cyanocorax cristatellus (Temminck, 1823)	EN	Gralha-do-cerrado
Cypsnagra hirundinacea (Lesson, 1831)	EN	Bandoleta
Daptrius americanus (Boddaert, 1783)	RE	Gralhão
Diomedea exulans Linnaeus, 1758	VU	Albatroz-gigante
Dryocopus galeatus (Temminck, 1822)	CR	pica-pau-de-cara-acanelada
Eleothreptus anomalus (Gould, 1837)	VU	Curiango-do-banhado
Eudocimus ruber (Linnaeus, 1758)	CR	Guará
Harpia harpyja (Linnaeus, 1758)	CR	Harpia
Harpyhaliaetus coronatus (Vieillot, 1817)	VU	Águia-cinzenta
Hemitriccus kaempferi (Zimmer, 1953)	CR	Maria-catarinense
Leucopternis lacernulatus (Temminck, 1827)	EN	Gavião-pombo-pequeno
Macronectes giganteus (Gmelin, 1789)	VU	Petrel-gigante
Mergus octosetaceus Vieillot, 1817	CR	Pato-mergulhão
Morphnus guianensis (Daudin, 1800)	RE	Uiraçu-falso
Neothraupis fasciata (Lichtenstein, 1823)	EN	Sanhaço-do-cerrado
Nyctanassa violacea (Linnaeus, 1758)	EN	Savacu-de-coroa
Nyctiphrynus ocellatus (Tschudi, 1844)	EN	Bacurau-ocelado
Oryzoborus angolensis (Linnaeus, 1766)	VU	Curió
Phacellodomus striaticollis (Lafresnaye & d’Orbigny, 1838)	VU	tio-tio
Philydor dimidiatum (Pelzeln, 1859)	CR	Limpa-folhas-castanho
Phleocryptes melanops (Vieillot, 1817)	VU	Bate-bico
Phylloscartes difficilis (Ihering & Ihering, 1907)	VU	Estalinho
Phylloscartes kronei Willis & Oniki, 1992	VU	Maria-da-restinga
Pipile jacutinga (Spix, 1825)	EN	Jacutinga
Piprites pileata (Temminck, 1822)	EN	Dançador-coroado
Platyrinchus leucoryphus Wied, 1831	EN	Patinho-grande
Polioptila lactea (Sharpe, 1885)	EN	Balança-rabo
Primolius maracana (Vieillot, 1816)	EN	Maracanã
Procellaria aequinoctialis (Linnaeus, 1758)	VU	Procelária
Psarocolius decumanus (Pallas, 1769)	CR	japu-guaçu
Pteroglossus aracari (Linnaeus, 1758)	VU	Araçari-de-bico-branco
Rhea americana (Linnaeus, 1758)	CR	Ema
Scytalopus iraiensis Bornschein, Reinert & Pichorim, 1998	EN	Macuquinho-da-várzea
Spizaetus ornatus (Daudin, 1801)	EN	Gavião-de-penacho
Spizastur melanoleucus (Vieillot, 1816)	EN	Gavião-pato
Sporophila cinnamomea (Lafresnaye, 1839)	EN	Caboclinho-de-chapéu-cinzento
Sporophila falcirostris (Temminck, 1820)	VU	Cigarrinha
Sporophila frontalis (Verreaux, 1869)	VU	Pichochó
Sporophila melanogaster (Pelzeln, 1870)	VU	Caboclinho-preto
Sporophila palustris (Barrows, 1883)	EN	Caboclinho-papai-noel
Sporophila plumbea (Wied, 1830)	VU	Patativa
Stymphalornis acutirostris Bornschein, Reinert & Teixeira, 1995	EN	Bicudinho-do-brejo
