Nome científico	Nome vulgar	Categoria
Rea americana (Linnaeus, 1758)	ema	CR
Tinamus solitarius (Vieillot, 1819)	macuco	EN
Crypturellus undulatus (Temminck, 1815)	jaó	CR(RE)
Crypturellus noctivagus (Wied, 1820)	jaó-do-sul	EN
Taoniscus nanus (Temminck, 1815)	codorninha	CR(RE)
Anhima cornuta (Linnaeus, 1766)	anhuma	VU
Sarkidiornis sylvicola Ihering & Ihering, 1907	pato-de-crista	VU
Anas flavirostris Vieillot, 1816	marreca-pardinha	VU
Mergus octosetaceus Vieillot, 1817	pato-mergulhão	CR(RE)
Aburria jacutinga (Spix, 1825)	jacutinga	EN
Crax fasciolata Spix, 1825	mutu-de-penacho	CR
Thalassarche chlororhynchos (Gmelin, 1789)	albatroz-de-nariz-amarelo	VU
Thalassarche melanophris (Temminck, 1828)	albatroz-de-sobrancelha	VU
Procellaria aequinoctialis Linnaeus, 1758	pardela-preta	VU
Tigrisoma fasciatum (Such, 1825)	socó-jararaca	EN
Cochlearius cochlearius (Linnaeus, 1766)	arapapá	CR
Pilherodius pileatus (Boddaert, 1783)	garça-real	VU
Chondrohierax uncinatus (Temminck, 1822)	caracoleiro	VU
Accipiter poliogaster (Temminck, 1824)	tauató-pintado	VU
Busarellus nigricollis (Latham, 1790)	gavião-belo	EN
Buteogallus aequinoctialis (Gmelin, 1788)	gavião-caranguejeiro	CR
Amadonastur lacernulatus (Temminck, 1827)	gavião-pombo-pequeno	VU
Urubitinga coronata (Vieillot, 1817)	águia-cinzenta	CR
Morphnus guianensis (Daudin, 1800)	uiraçu	CR(RE)
Harpia harpyja (Linnaeus, 1758)	gavião-real	CR
Spizaetus tyrannus (Wied, 1820)	gavião-pega-macaco	VU
Spizaetus melanoleucus (Vieillot, 1816)	gavião-pato	VU
Spizaetus ornatus (Daudin, 1800)	gavião-de-penacho	EN
Rallus longirostris Boddaert, 1783	saracura-matraca	VU
Amaurolimnas concolor (Gosse, 1847)	saracura-do-mato	VU
Heliornis fulica (Boddaert, 1783)	picaparra	EM
Haematopus palliatus Temminck, 1820	piru-piru	VU
Gallinago undulata (Boddaert, 1783)	narcejão	EN
Sterna hirundinacea Lesson, 1831	trinta-réis-de-bico-vermelho	VU
Thalasseus maximus (Boddaert, 1783)	trinta-réis-real	EN
Claravis geoffroyi (Temminck, 1811)	pararu-espelho	CR(RE)
Patagioenas speciosa (Gmelin, 1789)	pomba-trocal	EN
Pulsatrix perspicillata (Latham, 1790)	murucututu	CR
Strix huhula Daudin, 1800	coruja-preta	CR
Glaucidium minutissimum (Wied, 1830)	caburé-miudinho	VU
Aegolius harrisii (Cassin, 1849)	caburé-acanelado	VU
Nyctibius aethereus (Wied, 1820)	urutau-pardo	CR
Nyctiphrynus ocellatus (Tschudi, 1844)	bacurau-ocelado	EN
Antrostomus sericocaudatus Cassin, 1849	bacurau-rabo-de-seda	VU
Hydropsalis anomala (Gould, 1838)	curiango-do-banhado	EN
Lophornis magnificus (Vieillot, 1817)	topetinho-vermelho	VU
Momotus momota (Linnaeus, 1766)	udu	EN
Jacamaralcyon tridactyla (Vieillot, 1817)	cuitelão	CR(RE)
Pteroglossus bailloni (Vieillot, 1819)	araçari-banana	VU
Pteroglossus aracari (Linnaeus, 1758)	araçari-de-bico-branco	CR
Celeus galeatus (Temminck, 1822)	pica-pau-de-cara-canela	EN
Ibycter americanus (Boddaert, 1783)	cancão	CR(RE)
Ara ararauna (Linnaeus, 1758)	arara-canindé	EN
Ara chloropterus Gray, 1859	arara-vermelha	VU
Primolius maracana (Vieillot, 1816)	maracanã	EN
Touit melanonotus (Wied, 1820)	apuim-de-costas-pretas	VU
Amazona vinacea (Kuhl, 1820)	papagaio-de-peito-roxo	VU
Amazona brasiliensis (Linnaeus, 1758)	papagaio-de-cara-roxa	VU
Amazona amazonica (Linnaeus, 1766)	curica	VU
Formicivora acutirostris (Bornschein et al., 1995)	bicudinho-do-brejo	EN
Dysithamnus xanthopterus Burmeister, 1856	choquinha-de-asa-ferrugem	VU
Herpsilochmus atricapillus Pelzeln, 1868	chorozinho-de-chapéu-preto	CR(RE)
Merulaxis ater Lesson, 1830	entufado	VU
Scytalopus pachecoi Maurício, 2005	tapaculo-ferreirinho	VU
Scytalopus iraiensis Bornschein, Reinert & Pichorim, 1998	macuquinho-da-várzea	EN
Chamaeza meruloides Vigors, 1825	tovaca-cantadora	VU
Campylorhamphus trochilirostris (Lichtenstein, 1820)	arapaçu-beija-flor	VU
Phleocryptes melanops (Vieillot, 1817)	bate-bico	EN
Clibanornis rectirostris (Wied, 1831)	cisqueiro-do-rio	VU
Syndactyla dimidiata (Pelzeln, 1859)	limpa-folha-do-brejo	CR(RE)
Leptasthenura striolata (Pelzeln, 1856)	grimpeirinho	EN
Phacellodomus striaticollis (d?Orbigny & Lafresnaye, 1838)	tio-tio	CR
Phacellodomus ferrugineigula (Pelzeln, 1858)	joão-botina-do-brejo	EN
Limnoctites rectirostris (Gould, 1839)	arredio-do-gravatá	CR
Antilophia galeata (Lichtenstein, 1823)	soldadinho	VU
Onychorhynchus swainsoni (Pelzeln, 1858)	maria-leque-do-sudeste	VU
Iodopleura pipra(Lesson, 1831)	anambezinho	EN
Pachyramphus marginatus (Lichtenstein, 1823)	caneleiro-bordado	VU
Carpornis melanocephala (Wied, 1820)	sabiá-pimenta	VU
Lipaugus lanioides (Lesson, 1844)	tropeiro-da-serra	VU
Piprites chloris (Temminck, 1822)	papinho-amarelo	VU
Piprites pileata (Temminck, 1822)	caneleirinho-de-chapéu-preto	CR
Platyrinchus leucoryphus Wied, 1831	patinho-de-asa-castanha	VU
Tachuris rubrigastra (Vieillot, 1817)	papa-piri	EN
Phylloscartes paulista Ihering & Ihering, 1907	não-pode-parar	VU
Phylloscartes difficilis (Ihering & Ihering, 1907)	estalinho	VU
Phylloscartes sylviolus (Cabanis & Heine, 1859)	maria-pequena	VU
Hemitriccus kaempferi (Zimmer, 1953)	maria-catarinense	EN
Suiriri suiriri (Vieillot, 1818)	suiriri-cinzento	EN
Culicivora caudacuta (Vieillot, 1818)	papa-moscas-do-campo	EN
Polystictus pectoralis (Vieillot, 1817)	papa-moscas-canela	CR
Pseudocolopteryx sclateri (Oustalet, 1892)	tricolino	EN
Pseudocolopteryx acutipennis (Sclater & Salvin, 1873)	tricolino-oliváceo	EN
Pseudocolopteryx flaviventris (d?Orbigny & Lafresnaye, 1837)	amarelinho-do-junco	VU
Casiornis rufus (Vieillot, 1816)	maria-ferrugem	VU
Alectrurus tricolor (Vieillot, 1816)	galito	CR
Xolmis dominicanus (Vieillot, 1823)	noivinha-de-rabo-preto	EN
Cyanocorax cyanomelas (Vieillot, 1818)	gralha-do-pantanal	VU
Cistothorus platensis (Latham, 1790)	corruíra-do-campo	EN
Anthus nattereri Sclater, 1878	caminheiro-grande	EN
[Myiothlypis leucophrys Pelzeln, 1868]	pula-pula-de-sobrancelha	CR(RE)
Procacicus solitarius (Vieillot, 1816)	iraúna-de-bico-branco	VU
Agelasticus thilius (Molina, 1782)	sargento	VU
Neothraupis fasciata (Lichtenstein, 1823)	cigarra-do-campo	CR
Dacnis nigripes Pelzeln, 1856	saí-de-pernas-pretas	VU
Sporophila frontalis (Verreaux, 1869)	pixoxó	EN
Sporophila falcirostris (Temminck, 1820)	cigarra	EN
Sporophila plumbea (Wied, 1830)	patativa	EN
Sporophila beltoni Repenning & Fontana, 2013	patativa-tropeira	EN
Sporophila leucoptera (Vieillot, 1817)	chorão	VU
Sporophila pileata (Sclater, 1864)	caboclinho-branco	EN
Sporophila hypoxantha Cabanis, 1851	caboclinho-de-barriga-vermelha	VU
Sporophila palustris (Barrows, 1883)	caboclinho-de-papo-branco	CR
Sporophila cinnamomea (Lafresnaye, 1839)	caboclinho-de-chapéu-cinzento	CR
Sporophila melanogaster (Pelzeln, 1870)	caboclinho-de-barriga-preta	EN
Sporophila angolensis (Linnaeus, 1766)	curió	VU
Coryphaspiza melanotis (Temminck, 1822)	tico-tico-de-máscara-negra	CR
Cypsnagra hirundinacea (Lesson, 1831)	bandoleta	CR(RE)
Anas georgica Gmelin, 1789	marreca-parda	NT
Netta erythrophthalma (Wied, 1832)	paturi-preta	NT
Netta peposaca (Vieillot, 1816)	marrecão	NT
Ortalis squamata (Lesson, 1829)	aracuã-escamoso	NT
Botaurus pinnatus (Wagler, 1829)	socó-boi-baio	NT
Ixobrychus exilis (Gmelin, 1789)	socoí-vermelho	NT
Ixobrychus involucris (Vieillot, 1823)	socoí-amarelo	NT
Eudocimus ruber (Linnaeus, 1758)	guará	NT
Accipiter bicolor (Vieillot, 1817)	gavião-bombachinha-grande	NT
Parabuteo leucorrhous (Quoy & Gaimard, 1824)	gavião-de-sobre-branco	NT
Geranoaetus melanoleucus (Vieillot, 1819)	águia-serrana	NT
Pseudastur polionotus (Kaup, 1847)	gavião-pombo	NT
Aramides mangle (Spix, 1825)	saracura-do-mangue	NT
Porphyriops melanops (Vieillot, 1819)	galinha-d'água-carijó	NT
Geotrygon violacea (Temminck, 1809)	juriti-vermelha	NT
Bubo virginianus (Gmelin, 1788)	jacurutu	NT
Panyptila cayennensis (Gmelin, 1789)	andorinhão-estofador	NT
Polytmus guainumbi (Pallas, 1764)	beija-flor-de-bico-curvo	NT
Chloroceryle aenea (Pallas, 1764)	martim-pescador-miúdo	NT
Chloroceryle inda (Linnaeus, 1766)	martim-pescador-da-mata	NT
Notharchus swainsoni (Gray, 1846)	macuru-de-barriga-castanha	NT
Aratinga auricapillus (Kuhl, 1820)	jandaia-de-testa-vermelha	NT
Biatas nigropectus (Lafresnaye, 1850)	papo-branco	NT
Myrmoderus squamosus (Pelzeln, 1868)	papa-formiga-de-grota	NT
Hylopezus nattereri (Pinto, 1937)	pinto-do-mato	NT
Anabacerthia amaurotis (Temminck, 1823)	limpa-folha-miúdo	NT
Cranioleuca vulpina (Pelzeln, 1856)	arredio-do-rio	NT
Pyroderus scutatus (Shaw, 1792)	pavó	NT
Phylloscartes eximius (Temminck, 1822)	barbudinho	NT
Poecilotriccus latirostris (Pelzeln, 1868)	ferreirinho-de-cara-parda	NT
Ramphotrigon megacephalum (Swainson, 1835)	maria-cabeçuda	NT
Polioptila lactea Sharpe, 1885	balança-rabo-leitoso	NT
Orchesticus abeillei (Lesson, 1839)	sanhaço-pardo	NT
Poospiza thoracica (Nordmann, 1835)	peito-pinhão	NT
Piranga flava (Vieillot, 1822)	sanhaço-de-fogo	NT
Podiceps occipitalis Garnot, 1826	mergulhão-de-orelha-amarela	DD
Spheniscus magellanicus (Forster, 1781)	pinguim	DD
Fulmarus glacialoides (Smith, 1840)	pardelão-prateado	DD
Daption capense (Linnaeus, 1758)	pomba-do-cabo	DD
Pachyptila belcheri (Mathews, 1912)	faigão-de-bico-fino	DD
Procellaria conspicillata Gould, 1844	pardela-de-óculos	DD
Calonectris borealis (Cory, 1881)	cagarra-grande	DD
Calonectris edwardsii (Oustalet, 1883)	cagarra-de-cabo-verde	DD
Puffinus griseus (Gmelin, 1789)	pardela-escura	DD
Puffinus gravis (O?Reilly, 1818)	pardela-de-barrete	DD
Puffinus puffinus (Brünnich, 1764)	pardela-sombria	DD
Oceanites oceanicus (Kuhl, 1820)	alma-de-mestre	DD
Accipiter superciliosus (Linnaeus, 1766)	tauató-passarinho	DD
Buteo swainsoni Bonaparte, 1838	gavião-papa-gafanhoto	DD
Micropygia schomburgkii (Schomburgk, 1848)	maxalalagá	DD
Aramides ypecaha (Vieillot, 1819)	saracuruçu	DD
Laterallus exilis (Temminck, 1831)	sanã-do-capim	DD
Porzana flaviventer (Boddaert, 1783)	sanã-amarela	DD
Neocrex erythrops (Sclater, 1867)	turu-turu	DD
Porphyrio flavirostris (Gmelin, 1789)	frango-d'água-pequeno	DD
Fulica rufifrons Philippi & Landbeck, 1861	carqueja-de-escudo-vermelho	DD
Vanellus cayanus (Latham, 1790)	mexeriqueira	DD
Limosa haemastica (Linnaeus, 1758)	maçarico-de-bico-virado	DD
Numenius hudsonicusLatham, 1790	maçarico-de-bico-torto	DD
Tringa semipalmata (Gmelin, 1789)	maçarico-de-asa-branca	DD
Calidris canutus (Linnaeus, 1758)	vira-pedras	DD
Calidris pusilla (Linnaeus, 1766)	maçarico-branco	DD
Calidris minutilla (Vieillot, 1819)	maçarico-rasteirinho	DD
Calidris bairdii (Coues, 1861)	maçarico-de-sobre-branco	DD
Calidris himantopus (Bonaparte, 1826)	maçarico-de-colete	DD
