	Aves	Ordem	Familia	Especie	Autor	Nome Popular	Categoria
Aves	Aves	Tinamiformes	Tinamidae	Tinamus solitarius	(Vieillot, 1819)	macuco	EP
Aves	Aves	Tinamiformes	Tinamidae	Crypturellus variegatus	(Gmelin, 1789)	chororão	CP
Aves	Aves	Tinamiformes	Tinamidae	Crypturellus noctivagus	(Wied, 1820)	jaó-do-sul	PE
Aves	Aves	Pelicaniformes	Anhingidae	Anhinga anhinga	(Linnaeus, 1766)	biguatinga	VU
Aves	Aves	Ciconiformes	Ardeidae	Tigrisoma fasciatum	(Such, 1825)	socó-boi-	PE
Aves	Aves	Ciconiformes	Threskiornitidae	Eudocimus ruber	(Linnaeus,1758)	guará	CP
Aves	Aves	Ciconiformes	Ciconidae	Ciconia maguari	(Gmelin, 1789)	maguari	VU
Aves	Aves	Anseriformes	Anatidae	Cairina moschata	(Linnaeus, 1758)	pato-do-mato	VU
Aves	Aves	Anseriformes	Anatidae	Dendrocygna bicolor	(Horsfield, 1824)	marreca- caneleira	VU
Aves	Aves	Anseriformes	Anatidae	Sarkidiornis melanotos	(Pennant, 1769)	pato-de-crista	EP
Aves	Aves	Cathartiformes	Cathartidae	Sarcoramphus papa	(Linnaeus, 1758)	urubu-rei	VU
Aves	Aves	Falconiformes	Accipitridae	Accipiter poliogaster	(Temminck, 1824)	tauató- pintado	VU
Aves	Aves	Falconiformes	Accipitridae	Leucopternis lacernulata	(Temminck, 1827)	gavião- pomba	VU
Aves	Aves	Falconiformes	Accipitridae	Busarellus nigricollis	(Latham, 1790)	gavião-belo	VU
Aves	Aves	Falconiformes	Accipitridae	Morphnus guianensis	(Daudin, 1800)	uiraçu-falso	PE
Aves	Aves	Falconiformes	Accipitridae	Harpia harpyja	(Linnaeus, 1758)	gavião-real	EP
Aves	Aves	Falconiformes	Accipitridae	Spizastur melanoleucus	(Vieillot, 1816)	gavião-pato	VU
Aves	Aves	Falconiformes	Accipitridae	Spizaetus ornatus	(Daudin, 1801)	gavião-de- penacho	PE
Aves	Aves	Falconiformes	Accipitridae	Falco deiroleucus	(Temminck, 1825)	falcão-de- peito- vermelho	PE
Aves	Aves	Galliformes	Cracidae	Crax blumenbachii	(Spix, 1825)	mutum-do- sudeste.	PE
Aves	Aves	Galliformes	Cracidae	Pipile jacutinga	(Spix, 1825)	jacutinga	PE
Aves	Aves	Gruiformes	Rallidae	Heliornis fulica	(Boddaert, 1783)	picaparra	VU
Aves	Aves	Charadriiformes	Laridae	Larus maculipennis	(Lichteinstein, 1823)	gaivota- maria-velha	PE
Aves	Aves	Charadriiformes	Laridae	Phaetusa simplex	(Gmelin, 1789)	trinta-réis- grande	PE
