Tinamiformes		
Tinamidae		
Crypturellus noctivagus (Wied-Neuwied, 1820)	Jaó-do-litoral	provavelmente extinta
Tinamus solitarius (Vieillot, 1819)	macuco	criticamente em perigo
Procellariiformes		
Diomedeidae		
Diomedea dabbenena Mathews, 1929	Albatroz-de-tristão	vulnerável
Diomedea exulans Linnaeus, 1758	Albatroz-errante	em perigo
Thalassarche chlororhynchos (Gmelin, 1789)	albatroz-de-nariz-amarelo	vulnerável
Procellariidae		
Macronectes giganteus (Gmelin, 1789)	Pardelão-gigante	vulnerável
Procellaria aequinoctialis Linnaeus, 1758	Pardela-preta	vulnerável
Procellaria conspicillata Gould, 1844	Pardela-de-óculos	em perigo
Ciconiiformes		
Threskiormithidae		
Mesembrinibis cayennensis (Gmelin, 1789)	Coró-coró	em perigo
Cathartidae		
Sarcoramphus papa (Linnaeus, 1758)	Urubu-rei	criticamente em perigo
Accipitridae		
Accipiter poliogaster (Temminck, 1824)	tauató-pintado	criticamente em perigo
Busarellus nigricollis (Latham, 1790)	gavião-velho	vulnerável
Buteo leucorrhous (Quoy & Gaimard, 1824)	gavião-de-sobre-branco	criticamente em perigo
Circus cinereus Vieillot, 1816	gavião-cinza	vulnerável
Geranoaetus melanoleucus (Vieillot, 1819)	águia-chilena	vulnerável
Harpia harpyja (Linnaeus, 1758)	gavião-real	provavelmente extinta
Harpyhaliaetus coronatus (Vieillot, 1817)	águia-cinza	criticamente em perigo
Leptodon cayanensis (Latham, 1790)	gavião-de-cabeça-cinza	criticamente em perigo
Leucopternis polionota (Kaup, 1847)	gavião-pombo-branco	em perigo
Morphnus guianensis (Daudin, 1800)	uiraçu-falso	provavelmente extinta
Parabuteo unicinctus (Temminck, 1824)	gavião-asa-de-telha	em perigo
Spizaetus ornatus (Daudin, 1800)	gavião-de-penacho	provavelmente extinta
Spizaetus tyrannus (Wied-Neuwied, 1820)	gavião-pega-macaco	criticamente em perigo
Spizastur melanoleucus (Vieillot, 1816)	gavião-pato	criticamente em perigo
Falconidae		
Falco deiroleucus Temminck, 1825	falcão-de-peito-vermelho	provavelmente extinta
Falco refigularis Daudin, 1800	falcão-de-garganta-branca	em perigo
Herpetotheres cachinnans (Linnaeus, 1758)	acauã	vulnerável
Anseriformes		
Anatidae		
Cairina moschata (Linnaeus, 1758)	pato-do-mato	em perigo
Sarkidiornis melanotos (Pennant, 1769)	pato-de-crista	vulnerável
Galliformes		
Cracidae		
Penelope superciliaris Temminck, 1815	jacu-velho, jacupemba	provavelmente extinta
Pipile jacutinga (Spix, 1825)	jacutinga	criticamente em perigo
Phasianidae		
Odontophorus capueira (Spix, 1825)	uru	vulnerável
Gruiformes		
Rallidae		
Porzana Spiloptera Durnfornd, 1877	sanã-cinza	em perigo
Charadriiformes		
Scolopacidae		
Gallinago undulata (boddaert, 1783)	narcejão	vulnerável
Tryngites subruficollis (Vieillot, 1819)	maçarico-acanelado	vulnerável
Laridae		
Larus atlanticus Olrog, 1958	gaivota-de-rabo-preto	vulnerável
Columbiformes		
Columbidae		
Claravis pretiosa (Ferrari-Perez, 1886)	rola-azul	em perigo
Columba cayennensis Bonnaterre, 1792	pomba-galega	vulnerável
Columba plumbea Vieillot, 1818	pomba-amargosa	vulnerável
Psittaciformes		
Psittacidae		
Amazona pretrei (Temminck, 1830)	charão	vulnerável
Amazona vinacea (Kuhl, 1820)	papagaio-de-peito-roxo	em perigo
Anadorhynchus glaucus (Vieillot, 1816)	arar-azul-pequena	regionalmente extinta
Primolius maracana (Vieillot, 1816)	maracanã	regionalmente extinta
Triclaria malachitacea (Spix, 1824)	sabiá-cica	vulnerável
Cuculiformes		
Cuculidae		
Crotophaga major Gmelin, 1788	anu-coroca	vulnerável
Dromococcyx pavoninus Pelzeln, 1870	peixe-frito-pavonino	em perigo
Dromococcyx phasianellus (Spix, 1824)	peixe-frito-verdadeiro	em perigo
Strigiformes		
Strigidae		
Pulsatrix perspicillata (Latham, 1790)	murucututu	em perigo
Strix virgata (Cassin, 1849)	coruja-do-mato	criticamente em perigo
Caprimulgiformes		
Caprimulgidae		
Caprimulgus sericocaudatus (Cassin, 1849)	bacurau-rabo-de-seda	vulnerável
Eleothreptus anomalus (Gould, 1838)	curiango-do-banhado	em perigo
Apodiformes		
Trochilidae		
