Grupo	Classe	Ordem	Família	Táxon	Nome Vernacular	Categoria
Aves	Aves	Struthioniformes	Rheidae	Rhea americana (Linnaeus, 1758)	ema	CR
Aves	Aves	Tinamiformes	Tinamidae	Tinamus solitarius (Vieillot, 1819)	macuco	VU
Aves	Aves	Tinamiformes	Tinamidae	Crypturellus undulatus (Temminck, 1815)	jaó	EN
Aves	Aves	Tinamiformes	Tinamidae	Crypturellus noctivagus (Wied, 1820)	jaó-do-sul	EN
Aves	Aves	Tinamiformes	Tinamidae	Rhynchotus rufescens (Temminck, 1815)	perdiz	VU
Aves	Aves	Tinamiformes	Tinamidae	Nothura minor (Spix, 1825)	codorna-mineira	CR
Aves	Aves	Tinamiformes	Tinamidae	Taoniscus nanus (Temminck, 1815)	inhambu-carapé	CR
Aves	Aves	Anseriformes	Anhimidae	Anhima cornuta (Linnaeus, 1766)	anhuma	CR
Aves	Aves	Anseriformes	Anatidae	Neochen jubata (Spix, 1825)	pato-corredor	CR
Aves	Aves	Anseriformes	Anatidae	Sarkidiornis sylvicola (Ihering & Ihering, 1907)	pato-de-crista	EN
Aves	Aves	Galliformes	Cracidae	Ortalis guttata (Spix, 1825)	aracuã	CR
Aves	Aves	Galliformes	Cracidae	Aburria jacutinga (Spix, 1825)	jacutinga	CR
Aves	Aves	Galliformes	Cracidae	Crax fasciolata (Spix, 1825)	mutum-de-penacho	CR
Aves	Aves	Procellariiformes	Diomedeidae	Thalassarche chlororhynchos (Gmelin, 1789)	albatroz-de-nariz-amarelo	VU
Aves	Aves	Procellariiformes	Diomedeidae	Thalassarche melanophris (Temminck, 1828)	albatroz-de-sobrancelha	VU
Aves	Aves	Procellariiformes	Diomedeidae	Diomedea exulans (Linnaeus, 1758)	albatroz-gigante	VU
Aves	Aves	Procellariiformes	Diomedeidae	Diomedea dabbenena (Mathews, 1929)	albatroz-de-tristão	EN
Aves	Aves	Procellariiformes	Procellariidae	Pterodroma incerta (Schlegel, 1863)	grazina-de-barriga-branca	VU
Aves	Aves	Procellariiformes	Procellariidae	Procellaria aequinoctialis (Linnaeus, 1758)	pardela-preta	VU
Aves	Aves	Procellariiformes	Procellariidae	Procellaria conspicillata (Gould, 1844)	pardela-de-óculos	VU
Aves	Aves	Ciconiiformes	Ardeidae	Tigrisoma fasciatum (Such, 1825)	socó-boi-escuro	CR
Aves	Aves	Ciconiiformes	Ardeidae	Cochlearius cochlearius (Linnaeus, 1766)	arapapá	EN
Aves	Aves	Ciconiiformes	Ardeidae	Nyctanassa violacea (Linnaeus, 1758)	savacu-de-coroa	VU
Aves	Aves	Ciconiiformes	Ardeidae	Pilherodius pileatus (Boddaert, 1783)	garça-real	VU
Aves	Aves	Ciconiiformes	Threskiornithidae	Eudocimus ruber (Linnaeus, 1758)	guará	EN
Aves	Aves	Ciconiiformes	Ciconiidae	Ciconia maguari (Gmelin, 1789)	maguari	CR
Aves	Aves	Ciconiiformes	Ciconiidae	Jabiru mycteria (Lichtenstein, 1819)	tuiuiú	EN
Aves	Aves	Cathartiformes	Cathartidae	Cathartes burrovianus (Cassin, 1845)	urubu-de-cabeça-amarela	VU
Aves	Aves	Cathartiformes	Cathartidae	Sarcoramphus papa (Linnaeus, 1758)	urubu-rei	EN
Aves	Aves	Falconiformes	Accipitridae	Circus cinereus (Vieillot, 1816)	gavião-cinza	VU
Aves	Aves	Falconiformes	Accipitridae	Circus buffoni (Gmelin, 1788)	gavião-do-banhado	CR
Aves	Aves	Falconiformes	Accipitridae	Leucopternis lacernulatus (Temminck, 1827)	gavião-pombo-pequeno	VU
Aves	Aves	Falconiformes	Accipitridae	Leucopternis polionotus (Kaup, 1847)	gavião-pombo-grande	VU
Aves	Aves	Falconiformes	Accipitridae	Buteogallus aequinoctialis (Gmelin, 1788)	caranguejeiro	CR
Aves	Aves	Falconiformes	Accipitridae	Harpyhaliaetus coronatus (Vieillot, 1817)	águia-cinzenta	CR
Aves	Aves	Falconiformes	Accipitridae	Busarellus nigricollis (Latham, 1790)	gavião-belo	CR
Aves	Aves	Falconiformes	Accipitridae	Parabuteo unicinctus (Temminck, 1824)	gavião-asa-de-telha	VU
Aves	Aves	Falconiformes	Accipitridae	Morphnus guianensis (Daudin, 1800)	uiraçu-falso	CR
Aves	Aves	Falconiformes	Accipitridae	Harpia harpyja (Linnaeus, 1758)	gavião-real	CR
Aves	Aves	Falconiformes	Accipitridae	Spizaetus melanoleucus (Vieillot, 1816)	gavião-pega-macaco	CR
Aves	Aves	Falconiformes	Accipitridae	Spizaetus tyrannus (Wied, 1820)	gavião-pato	VU
Aves	Aves	Falconiformes	Accipitridae	Spizaetus ornatus (Daudin, 1800)	gavião-de-penacho	CR
Aves	Aves	Falconiformes	Falconidae	Ibycter americanus (Boddaert, 1783)	gralhão	CR
Aves	Aves	Falconiformes	Falconidae	Falco rufigularis (Daudin, 1800)	cauré	EN
Aves	Aves	Gruiformes	Rallidae	Micropygia schomburgkii (Schomburgk, 1848)	maxalalagá	CR
Aves	Aves	Gruiformes	Rallidae	Laterallus xenopterus (Conover, 1934)	sanã-de-cara-ruiva	CR
Aves	Aves	Gruiformes	Rallidae	Gallinula melanops (Vieillot, 1819)	frango-d’água-carijó	VU
Aves	Aves	Gruiformes	Heliornithidae	Heliornis fulica (Boddaert, 1783)	picaparra	CR
Aves	Aves	Charadriiformes	Charadriidae	Vanellus cayanus (Latham, 1790)	batuíra-de-esporão	CR
Aves	Aves	Charadriiformes	Haematopodidae	Haematopus palliatus (Temminck, 1820)	piru-piru	VU
Aves	Aves	Charadriiformes	Scolopacidae	Numenius borealis (Forster, 1772)	maçarico-esquimó	CR
Aves	Aves	Charadriiformes	Sternidae	Sternula superciliaris (Vieillot, 1819)	trinta-réis-anão	VU
Aves	Aves	Charadriiformes	Sternidae	Phaetusa simplex (Gmelin, 1789)	trinta-réis-grande	VU
Aves	Aves	Charadriiformes	Sternidae	Thalasseus sandvicensis (Latham, 1787)	trinta-réis-de-bando	VU
Aves	Aves	Charadriiformes	Sternidae	Thalasseus maximus (Boddaert, 1783)	trinta-réis-real	VU
Aves	Aves	Columbiformes	Columbidae	Columbina minuta (Linnaeus, 1766)	rolinha-de-asa-canela	VU
Aves	Aves	Columbiformes	Columbidae	Columbina cyanopis (Pelzeln, 1870)	rolinha-do-planalto	CR
Aves	Aves	Columbiformes	Columbidae	Claravis godefrida (Temminck, 1811)	pararu-espelho	CR
Aves	Aves	Columbiformes	Columbidae	Patagioenas speciosa (Gmelin, 1789)	pomba-trocal	EN
Aves	Aves	Columbiformes	Columbidae	Geotrygon violacea (Temminck, 1809)	juriti-vermelha	EN
Aves	Aves	Psittaciformes	Psittacidae	Ara ararauna (Linnaeus, 1758)	arara-canindé	CR
Aves	Aves	Psittaciformes	Psittacidae	Ara chloropterus (Gray, 1859)	arara-vermelha-grande	CR
Aves	Aves	Psittaciformes	Psittacidae	Orthopsittaca manilata (Boddaert, 1783)	maracanã-do-buriti	CR
Aves	Aves	Psittaciformes	Psittacidae	Primolius maracana (Vieillot, 1816)	maracanã-verdadeira	EN
Aves	Aves	Psittaciformes	Psittacidae	Diopsittaca nobilis (Linnaeus, 1758)	maracanã-pequena	CR
Aves	Aves	Psittaciformes	Psittacidae	Touit melanonotus (Wied, 1820)	apuim-de-costas-pretas	VU
Aves	Aves	Psittaciformes	Psittacidae	Alipiopsitta xanthops (Spix, 1824)	papagaio-galego	CR
