Nomes	CBRO	Referência (handbook of the bird of the world and BirdLife)		Arrumar
Aburria cujubi	Aburria cujubi	Pipile cujubi		
Aburria jacutinga	Aburria jacutinga	Pipile jacutinga		
Aburria jacutinga	Aburria jacutinga			
Accipiter bicolor	Accipiter bicolor	Accipiter bicolor		
Accipiter poliogaster	Accipiter poliogaster	Accipiter poliogaster		
Accipiter superciliosus	Hieraspiza superciliosa	Accipiter superciliosus		
Acrobatornis fonsecai	Acrobatornis fonsecai	Acrobatornis fonsecai		
Acrobatornis fonsecai	Acrobatornis fonsecai			
Aegolius harrisii	Aegolius harrisii	Aegolius harrisii		
Agelaius thilius	Agelasticus thilius	Agelasticus thilius		
Agelasticus cyanopus	Agelasticus cyanopus	Agelasticus cyanopus		
Agelasticus thilius	Agelasticus thilius	Agelasticus thilius		
Agelatius cyanopus	Agelasticus cyanopus			
Alectrurus risora	Alectrurus risora	Alectrurus risora		
Alectrurus tricolor	Alectrurus tricolor	Alectrurus tricolor		
Alectrurus tricolor	Alectrurus tricolor			
Alipiopsitta xanthops	Alipiopsitta xanthops	Alipiopsitta xanthops		
Amadonastur lacernulatus	Amadonastur lacernulatus	Buteogallus lacernulatus		
Amadonastur lacernulatus	Amadonastur lacernulatus			
Amaurolimnas concolor	Amaurolimnas concolor	Amaurolimnas concolor		
Amaurospiza moesta	Amaurospiza moesta	Amaurospiza moesta		
Amazona amazonica	Amazona amazonica	Amazona amazonica		
Amazona brasiliensis	Amazona brasiliensis	Amazona brasiliensis		
Amazona farinosa	Amazona farinosa	Amazona farinosa		
Amazona ochrocephala xantholaema	Amazona ochrocephala xantholaema	Amazona ochrocephala xantholaema		
Amazona pretrei	Amazona pretrei	Amazona pretrei		
Amazona rhodocorytha	Amazona rhodocorytha	Amazona rhodocorytha		
Amazona vinacea	Amazona vinacea	Amazona vinacea		
Amazona pretrei	Amazona pretrei			
Amazona rhodocorytha	Amazona rhodocorytha			
Amazona vinacea	Amazona vinacea			
Anabacerthia amaurotis	Anabacerthia amaurotis	Anabacerthia amaurotis		
Anabacerthia amaurofis	Anabacerthia amaurotis			
Anabazenops dorsalis	Anabazenops dorsalis	Anabazenops dorsalis		
Anabazenops fuscus	Anabazenops fuscus	Anabazenops fuscus		
Anadorhynchus glaucus	Anodorhynchus glaucus			
Anas flavirostris	Anas flavirostris	Anas flavirostris		
Anas georgica	Anas georgica	Anas georgica		
Anhima cornuta	Anhima cornuta	Anhima cornuta		
Anhinga anhinga	Anhinga anhinga	Anhinga anhinga		
Anodorhynchus glaucus	Anodorhynchus glaucus	Anodorhynchus glaucus		
Anodorhynchus hyacinthinus	Anodorhynchus hyacinthinus	Anodorhynchus hyacinthinus		
Anodorhynchus leari	Anodorhynchus leari	Anodorhynchus leari		
Anodorhynchus leari	Anodorhynchus leari			
Anous minutus	Anous minutus	Anous minutus		
Anous stolidus	Anous stolidus	Anous stolidus		
Anthus hellmayri	Anthus hellmayri	Anthus hellmayri		
Anthus nattereri	Anthus nattereri	Anthus nattereri		
Anthus nattereri	Anthus nattereri			
Antilophia bokermanni	Antilophia bokermanni	Antilophia bokermanni		
Antilophia galeata	Antilophia galeata	Antilophia galeata		
Antilophia bokermanni	Antilophia bokermanni			
