Scientific name - BirdLife 2022	English name	Family	Global IUCN Red List Category		Nome do táxon (sem autoria) - CBRO 2021	English Name
Crypturellus noctivagus	Yellow-legged Tinamou	Tinamidae (Tinamous)	NT		Crypturellus zabele	Zabele Tinamou
Penelope pileata	White-crested Guan	Cracidae (Guans, Chachalacas, Curassows)	VU		Crypturellus noctivagus	Yellow-legged Tinamou
Penelope ochrogaster	Chestnut-bellied Guan	Cracidae (Guans, Chachalacas, Curassows)	VU		Penelope pileata	White-crested Guan
Penelope jacucaca	White-browed Guan	Cracidae (Guans, Chachalacas, Curassows)	VU		Penelope ochrogaster	Chestnut-bellied Guan
Ortalis araucuan	East Brazilian Chachalaca	Cracidae (Guans, Chachalacas, Curassows)	LC		Penelope jacucaca	White-browed Guan
Ortalis squamata	Scaled Chachalaca	Cracidae (Guans, Chachalacas, Curassows)	LC		Ortalis remota	Pinto's Chachalaca
Ortalis superciliaris	Buff-browed Chachalaca	Cracidae (Guans, Chachalacas, Curassows)	LC		Ortalis araucuan	East Brazilian Chachalaca
Crax pinima	Belem Curassow	Cracidae (Guans, Chachalacas, Curassows)	CR		Ortalis squamata	Scaled Chachalaca
Crax blumenbachii	Red-billed Curassow	Cracidae (Guans, Chachalacas, Curassows)	EN		Ortalis superciliaris	Buff-browed Chachalaca
Mitu mitu	Alagoas Curassow	Cracidae (Guans, Chachalacas, Curassows)	EW		Crax blumenbachii	Red-billed Curassow
Columbina cyanopis	Blue-eyed Ground-dove	Columbidae (Pigeons, Doves)	CR		Pauxi mitu	Alagoas Curassow
Nyctiprogne vielliardi	Bahian Nighthawk	Caprimulgidae (Nightjars)	LC		Columbina cyanopis	Blue-eyed Ground-Dove
Nyctipolus hirundinaceus	Pygmy Nightjar	Caprimulgidae (Nightjars)	LC		Neomorphus squamiger	Scaled Ground-Cuckoo
Ramphodon naevius	Saw-billed Hermit	Trochilidae (Hummingbirds)	LC		Nyctiprogne vielliardi	Bahian Nighthawk
Glaucis dohrnii	Hook-billed Hermit	Trochilidae (Hummingbirds)	VU		Nyctidromus hirundinaceus	Pygmy Nightjar
Anopetia gounellei	Broad-tipped Hermit	Trochilidae (Hummingbirds)	LC		Ramphodon naevius	Saw-billed Hermit
Phaethornis major	Ash-bellied Hermit	Trochilidae (Hummingbirds)	LC		Glaucis dohrnii	Hook-billed Hermit
Phaethornis squalidus	Dusky-throated Hermit	Trochilidae (Hummingbirds)	LC		Anopetia gounellei	Broad-tipped Hermit
Phaethornis aethopygus	Tapajos Hermit	Trochilidae (Hummingbirds)	VU		Phaethornis squalidus	Dusky-throated Hermit
Phaethornis idaliae	Minute Hermit	Trochilidae (Hummingbirds)	LC		Phaethornis maranhaoensis	Maranhao Hermit
Augastes scutatus	Hyacinth Visorbearer	Trochilidae (Hummingbirds)	LC		Phaethornis aethopygus	Tapajos Hermit
Augastes lumachella	Hooded Visorbearer	Trochilidae (Hummingbirds)	NT		Phaethornis idaliae	Minute Hermit
Lophornis magnificus	Frilled Coquette	Trochilidae (Hummingbirds)	LC		Phaethornis major	Ash-bellied Hermit
Clytolaema rubricauda	Brazilian Ruby	Trochilidae (Hummingbirds)	LC		Phaethornis margarettae	Margaretta's Hermit
Heliomaster squamosus	Stripe-breasted Starthroat	Trochilidae (Hummingbirds)	LC		Augastes scutatus	Hyacinth Visorbearer
Stephanoxis lalandi	Green-crowned Plovercrest	Trochilidae (Hummingbirds)	LC		Augastes lumachella	Hooded Visorbearer
Campylopterus calcirupicola	Dry-forest Sabrewing	Trochilidae (Hummingbirds)	VU		Lophornis magnificus	Frilled Coquette
Campylopterus diamantinensis	Diamantina Sabrewing	Trochilidae (Hummingbirds)	NT		Heliodoxa rubricauda	Brazilian Ruby
Thalurania watertonii	Long-tailed Woodnymph	Trochilidae (Hummingbirds)	EN		Heliomaster squamosus	Stripe-breasted Starthroat
Eupetomena cirrochloris	Sombre Hummingbird	Trochilidae (Hummingbirds)	LC		Stephanoxis lalandi	Green-crowned Plovercrest
Aramides mangle	Little Wood-rail	Rallidae (Rails, Gallinules, Coots)	LC		Campylopterus calcirupicola	Outcrop Sabrewing
Psophia ochroptera	Ochre-winged Trumpeter	Psophiidae (Trumpeters)	LC		Campylopterus diamantinensis	Diamantina Sabrewing
Psophia dextralis	Olive-winged Trumpeter	Psophiidae (Trumpeters)	EN		Thalurania watertonii	Long-tailed Woodnymph
Psophia obscura	Black-winged Trumpeter	Psophiidae (Trumpeters)	CR		Chrysuronia rondoniae	Blue-green Emerald
Pterodroma arminjoniana	Trindade Petrel	Procellariidae (Petrels, Shearwaters)	VU		Psophia ochroptera	Yellow-winged Trumpeter
Pterodroma incerta	Atlantic Petrel	Procellariidae (Petrels, Shearwaters)	EN		Psophia viridis	Green-winged Trumpeter
Glaucidium mooreorum	Pernambuco Pygmy-owl	Strigidae (Typical Owls)	CR (PE)		Psophia dextralis	Brown-winged Trumpeter
Leptodon forbesi	White-collared Kite	Accipitridae (Hawks, Eagles)	EN		Psophia interjecta	Xingu Trumpeter
Buteogallus lacernulatus	White-necked Hawk	Accipitridae (Hawks, Eagles)	VU		Psophia obscura	Dark-winged Trumpeter
Pseudastur polionotus	Mantled Hawk	Accipitridae (Hawks, Eagles)	NT		Leptodon forbesi	White-collared Kite
Trogon aurantius	Northern Surucua Trogon	Trogonidae (Trogons)	LC		Amadonastur lacernulatus	White-necked Hawk
Jacamaralcyon tridactyla	Three-toed Jacamar	Galbulidae (Jacamars)	NT		Megascops stangiae	Xingu Screech-Owl
Malacoptila minor	Lesser Crescent-chested Puffbird	Bucconidae (Puffbirds)	EN		Megascops ater	Belem Screech-Owl
Malacoptila striata	Greater Crescent-chested Puffbird	Bucconidae (Puffbirds)	LC		Megascops alagoensis	Alagoas Screech-Owl
Nonnula amaurocephala	Chestnut-headed Nunlet	Bucconidae (Puffbirds)	LC		Glaucidium mooreorum	Pernambuco Pygmy-Owl
Ramphastos ariel	Ariel Toucan	Ramphastidae (Toucans)	EN		Trogon muriciensis	Alagoas Black-throated Trogon
Pteroglossus bitorquatus	Eastern Red-necked Araçari	Ramphastidae (Toucans)	EN		Jacamaralcyon tridactyla	Three-toed Jacamar
Capito brunneipectus	Brown-chested Barbet	Capitonidae (New World Barbets)	LC		Nonnula amaurocephala	Chestnut-headed Nunlet
Picumnus pygmaeus	Spotted Piculet	Picidae (Woodpeckers)	LC		Malacoptila minor	Lesser Crescent-chested Puffbird
Picumnus varzeae	Varzea Piculet	Picidae (Woodpeckers)	NT		Malacoptila striata	Crescent-chested Puffbird
Picumnus fulvescens	Tawny Piculet	Picidae (Woodpeckers)	NT		Nystalus maculatus	Spot-backed Puffbird
Picumnus limae	Ochraceous Piculet	Picidae (Woodpeckers)	LC		Nystalus torridus	Eastern Striolated-Puffbird
Celeus tinnunculus	Atlantic Black-breasted Woodpecker	Picidae (Woodpeckers)	VU		Capito brunneipectus	Brown-chested Barbet
