	#	Ordem	Família	Espécie ou Subespécie	Categoria
406	*	Accipitriformes	Accipitridae	Amadonastur lacernulatus	VU
407	*	Accipitriformes	Accipitridae	Circus cinereus	VU
408	*	Accipitriformes	Accipitridae	Harpia harpyja	VU
409	*	Accipitriformes	Accipitridae	Leptodon forbesi	EN
410	*	Accipitriformes	Accipitridae	Morphnus guianensis	VU
411	*	Accipitriformes	Accipitridae	Urubitinga coronata	EN
412	*	Anseriformes	Anatidae	Mergus octosetaceus	CR
413	*	Apodiformes	Trochilidae	Augastes lumachella	EN
414		Apodiformes	Trochilidae	Campylopterus calcirupicola	EN
415		Apodiformes	Trochilidae	Colibridelphinae greenewalti	EN
416	*	Apodiformes	Trochilidae	Discosuralangsdorffi langsdorffi	EN
417	*	Apodiformes	Trochilidae	Glaucis dohrnii	VU
418	*	Apodiformes	Trochilidae	Lophornis gouldii	VU
419	*	Apodiformes	Trochilidae	Phaethornis aethopygus	VU
420	*	Apodiformes	Trochilidae	Phaethornis major	VU
421	*	Apodiformes	Trochilidae	Phaethornis margarettae	EN
422	*	Apodiformes	Trochilidae	Thalurania watertonii	EN
423	*	Caprimulgiformes	Caprimulgidae	Hydropsalis candicans	EN
424		Caprimulgiformes	Caprimulgidae	Nyctiprogne vielliardi	EN
425		Charadriiformes	Burhinidae	Burhinus bistriatus	VU
426	*	Charadriiformes	Charadriidae	Charadrius wilsonia	VU
427	*	Charadriiformes	Laridae	Sterna dougallii	VU
428	*	Charadriiformes	Laridae	Sterna hirundinacea	VU
429		Charadriiformes	Laridae	Thalasseusacuflavidus	VU
430	*	Charadriiformes	Laridae	Thalasseus maximus	EN
431	*	Charadriiformes	Scolopacidae	Calidris canutus	VU
432	*	Charadriiformes	Scolopacidae	Calidris pusilla	EN
433	*	Charadriiformes	Scolopacidae	Calidrissubruficollis	VU
434	*	Charadriiformes	Scolopacidae	Limnodromus griseus	EN
435		Charadriiformes	Scolopacidae	Numenius hudsonicus	VU
436	*	Columbiformes	Columbidae	Columbina cyanopis	CR
