"SpcRecID","Scientific name","English name","Family","Global IUCN Red List Category"
"2","Rhea americana","Greater Rhea","Rheidae (Rheas)","NT"
"11","Tinamus tao","Grey Tinamou","Tinamidae (Tinamous)","VU"
"12","Tinamus solitarius","Solitary Tinamou","Tinamidae (Tinamous)","NT"
"14","Tinamus major","Great Tinamou","Tinamidae (Tinamous)","LC"
"15","Tinamus guttatus","White-throated Tinamou","Tinamidae (Tinamous)","NT"
"20","Crypturellus cinereus","Cinereous Tinamou","Tinamidae (Tinamous)","LC"
"21","Crypturellus soui","Little Tinamou","Tinamidae (Tinamous)","LC"
"23","Crypturellus obsoletus","Brown Tinamou","Tinamidae (Tinamous)","LC"
"25","Crypturellus undulatus","Undulated Tinamou","Tinamidae (Tinamous)","LC"
"27","Crypturellus strigulosus","Brazilian Tinamou","Tinamidae (Tinamous)","LC"
"33","Crypturellus duidae","Grey-legged Tinamou","Tinamidae (Tinamous)","LC"
"31001","Crypturellus erythropus","Red-legged Tinamou","Tinamidae (Tinamous)","LC"
"34","Crypturellus noctivagus","Yellow-legged Tinamou","Tinamidae (Tinamous)","NT"
"35","Crypturellus atrocapillus","Black-capped Tinamou","Tinamidae (Tinamous)","LC"
"36","Crypturellus variegatus","Variegated Tinamou","Tinamidae (Tinamous)","LC"
"37","Crypturellus brevirostris","Rusty Tinamou","Tinamidae (Tinamous)","LC"
"38","Crypturellus bartletti","Bartlett's Tinamou","Tinamidae (Tinamous)","LC"
"39","Crypturellus parvirostris","Small-billed Tinamou","Tinamidae (Tinamous)","LC"
"41","Crypturellus tataupa","Tataupa Tinamou","Tinamidae (Tinamous)","LC"
"32199","Rhynchotus rufescens","Red-winged Tinamou","Tinamidae (Tinamous)","LC"
"54","Nothura boraquira","White-bellied Nothura","Tinamidae (Tinamous)","LC"
"53","Nothura minor","Lesser Nothura","Tinamidae (Tinamous)","VU"
"1099054","Nothura maculosa","Spotted Nothura","Tinamidae (Tinamous)","LC"
"55","Taoniscus nanus","Dwarf Tinamou","Tinamidae (Tinamous)","EN"
"76","Penelope marail","Marail Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"77","Penelope superciliaris","Rusty-margined Guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
"82","Penelope jacquacu","Spix's Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"83","Penelope obscura","Dusky-legged Guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"84","Penelope pileata","White-crested Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"85","Penelope ochrogaster","Chestnut-bellied Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"86","Penelope jacucaca","White-browed Guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"1016773","Pipile cumanensis","Blue-throated Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","LC"
"1016775","Pipile grayi","White-throated Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","NT"
"89","Pipile cujubi","Red-throated Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","VU"
"90","Pipile jacutinga","Black-fronted Piping-guan","Cracidae (Guans, Chachalacas, Curassows)","EN"
"67","Ortalis canicollis","Chaco Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"1099055","Ortalis guttata","Speckled Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"31359","Ortalis araucuan","East Brazilian Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"1099056","Ortalis squamata","Scaled Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"70","Ortalis motmot","Little Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"71","Ortalis superciliaris","Buff-browed Chachalaca","Cracidae (Guans, Chachalacas, Curassows)","LC"
"96","Nothocrax urumutum","Nocturnal Curassow","Cracidae (Guans, Chachalacas, Curassows)","LC"
"106","Crax alector","Black Curassow","Cracidae (Guans, Chachalacas, Curassows)","LC"
"1016866","Crax fasciolata","Bare-faced Curassow","Cracidae (Guans, Chachalacas, Curassows)","VU"
"1016867","Crax pinima","Belem Curassow","Cracidae (Guans, Chachalacas, Curassows)","CR"
"107","Crax globulosa","Wattled Curassow","Cracidae (Guans, Chachalacas, Curassows)","EN"
"109","Crax blumenbachii","Red-billed Curassow","Cracidae (Guans, Chachalacas, Curassows)","EN"
"97","Mitu tomentosum","Crestless Curassow","Cracidae (Guans, Chachalacas, Curassows)","NT"
"100","Mitu mitu","Alagoas Curassow","Cracidae (Guans, Chachalacas, Curassows)","EW"
"99","Mitu tuberosum","Razor-billed Curassow","Cracidae (Guans, Chachalacas, Curassows)","NT"
"1016868","Colinus cristatus","Crested Bobwhite","Odontophoridae (New World quails)","LC"
"324","Odontophorus gujanensis","Marbled Wood-quail","Odontophoridae (New World quails)","LC"
"325","Odontophorus capueira","Spot-winged Wood-quail","Odontophoridae (New World quails)","LC"
"337","Odontophorus stellatus","Starred Wood-quail","Odontophoridae (New World quails)","LC"
"343","Anhima cornuta","Horned Screamer","Anhimidae (Screamers)","LC"
"345","Chauna torquata","Southern Screamer","Anhimidae (Screamers)","LC"
"352","Dendrocygna viduata","White-faced Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"354","Dendrocygna autumnalis","Black-bellied Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"349","Dendrocygna bicolor","Fulvous Whistling-duck","Anatidae (Ducks, Geese, Swans)","LC"
"364","Heteronetta atricapilla","Black-headed Duck","Anatidae (Ducks, Geese, Swans)","LC"
"356","Nomonyx dominicus","Masked Duck","Anatidae (Ducks, Geese, Swans)","LC"
"361","Oxyura vittata","Lake Duck","Anatidae (Ducks, Geese, Swans)","LC"
"372","Coscoroba coscoroba","Coscoroba Swan","Anatidae (Ducks, Geese, Swans)","LC"
"368","Cygnus melancoryphus","Black-necked Swan","Anatidae (Ducks, Geese, Swans)","LC"
"499","Mergus octosetaceus","Brazilian Merganser","Anatidae (Ducks, Geese, Swans)","CR"
"395","Neochen jubata","Orinoco Goose","Anatidae (Ducks, Geese, Swans)","NT"
"409","Cairina moschata","Muscovy Duck","Anatidae (Ducks, Geese, Swans)","LC"
"9857","Sarkidiornis sylvicola","American Comb Duck","Anatidae (Ducks, Geese, Swans)","LC"
"416","Callonetta leucophrys","Ringed Teal","Anatidae (Ducks, Geese, Swans)","LC"
"470","Netta peposaca","Rosy-billed Pochard","Anatidae (Ducks, Geese, Swans)","LC"
"471","Netta erythrophthalma","Southern Pochard","Anatidae (Ducks, Geese, Swans)","LC"
"420","Amazonetta brasiliensis","Brazilian Teal","Anatidae (Ducks, Geese, Swans)","LC"
"464","Spatula versicolor","Silver Teal","Anatidae (Ducks, Geese, Swans)","LC"
"446","Spatula platalea","Red Shoveler","Anatidae (Ducks, Geese, Swans)","LC"
"444","Spatula cyanoptera","Cinnamon Teal","Anatidae (Ducks, Geese, Swans)","LC"
"443","Spatula discors","Blue-winged Teal","Anatidae (Ducks, Geese, Swans)","LC"
"431","Mareca sibilatrix","Chiloe Wigeon","Anatidae (Ducks, Geese, Swans)","LC"
"454","Anas bahamensis","White-cheeked Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"459","Anas georgica","Yellow-billed Pintail","Anatidae (Ducks, Geese, Swans)","LC"
"32680","Anas flavirostris","Yellow-billed Teal","Anatidae (Ducks, Geese, Swans)","LC"
"3632","Tachybaptus dominicus","Least Grebe","Podicipedidae (Grebes)","LC"
"3633","Podilymbus podiceps","Pied-billed Grebe","Podicipedidae (Grebes)","LC"
"3626","Rollandia rolland","White-tufted Grebe","Podicipedidae (Grebes)","LC"
"3637","Podiceps major","Great Grebe","Podicipedidae (Grebes)","LC"
"3770","Phoenicopterus chilensis","Chilean Flamingo","Phoenicopteridae (Flamingos)","NT"
"3648","Phaethon aethereus","Red-billed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"3650","Phaethon lepturus","White-tailed Tropicbird","Phaethontidae (Tropicbirds)","LC"
"2758","Eurypyga helias","Sunbittern","Eurypygidae (Sunbittern)","LC"
"2476","Patagioenas speciosa","Scaled Pigeon","Columbidae (Pigeons, Doves)","LC"
"2479","Patagioenas picazuro","Picazuro Pigeon","Columbidae (Pigeons, Doves)","LC"
"1016841","Patagioenas maculosa","Spot-winged Pigeon","Columbidae (Pigeons, Doves)","LC"
"1016546","Patagioenas albilinea","Southern Band-tailed Pigeon","Columbidae (Pigeons, Doves)","LC"
"2484","Patagioenas cayennensis","Pale-vented Pigeon","Columbidae (Pigeons, Doves)","LC"
"2488","Patagioenas plumbea","Plumbeous Pigeon","Columbidae (Pigeons, Doves)","LC"
"2489","Patagioenas subvinacea","Ruddy Pigeon","Columbidae (Pigeons, Doves)","LC"
"1016836","Geotrygon saphirina","Sapphire Quail-dove","Columbidae (Pigeons, Doves)","LC"
"2602","Geotrygon montana","Ruddy Quail-dove","Columbidae (Pigeons, Doves)","LC"
"2601","Geotrygon violacea","Violaceous Quail-dove","Columbidae (Pigeons, Doves)","LC"
"2577","Leptotila verreauxi","White-tipped Dove","Columbidae (Pigeons, Doves)","LC"
"2582","Leptotila rufaxilla","Grey-fronted Dove","Columbidae (Pigeons, Doves)","LC"
"2556","Zenaida auriculata","Eared Dove","Columbidae (Pigeons, Doves)","LC"
"2561","Columbina squammata","Scaled Dove","Columbidae (Pigeons, Doves)","LC"
"2562","Columbina passerina","Common Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2563","Columbina minuta","Plain-breasted Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2564","Columbina talpacoti","Ruddy Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2566","Columbina picui","Picui Dove","Columbidae (Pigeons, Doves)","LC"
"2568","Columbina cyanopis","Blue-eyed Ground-dove","Columbidae (Pigeons, Doves)","CR"
"2569","Claravis pretiosa","Blue Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2571","Paraclaravis geoffroyi","Purple-winged Ground-dove","Columbidae (Pigeons, Doves)","CR"
"2576","Uropelia campestris","Long-tailed Ground-dove","Columbidae (Pigeons, Doves)","LC"
"2347","Steatornis caripensis","Oilbird","Steatornithidae (Oilbird)","LC"
"2348","Nyctibius grandis","Great Potoo","Nyctibiidae (Potoos)","LC"
"2349","Nyctibius aethereus","Long-tailed Potoo","Nyctibiidae (Potoos)","LC"
"2351","Nyctibius griseus","Common Potoo","Nyctibiidae (Potoos)","LC"
"2353","Nyctibius leucopterus","White-winged Potoo","Nyctibiidae (Potoos)","LC"
"30173","Phyllaemulor bracteatus","Rufous Potoo","Nyctibiidae (Potoos)","LC"
"2370","Chordeiles nacunda","Nacunda Nighthawk","Caprimulgidae (Nightjars)","LC"
"2364","Chordeiles pusillus","Least Nighthawk","Caprimulgidae (Nightjars)","LC"
"2367","Chordeiles minor","Common Nighthawk","Caprimulgidae (Nightjars)","LC"
"2366","Chordeiles acutipennis","Lesser Nighthawk","Caprimulgidae (Nightjars)","LC"
"30174","Chordeiles rupestris","Sand-colored Nighthawk","Caprimulgidae (Nightjars)","LC"
"2362","Lurocalis semitorquatus","Short-tailed Nighthawk","Caprimulgidae (Nightjars)","LC"
"2369","Nyctiprogne leucopyga","Band-tailed Nighthawk","Caprimulgidae (Nightjars)","LC"
"2365","Nyctiprogne vielliardi","Bahian Nighthawk","Caprimulgidae (Nightjars)","LC"
"2395","Nyctipolus nigrescens","Blackish Nightjar","Caprimulgidae (Nightjars)","LC"
"2397","Nyctipolus hirundinaceus","Pygmy Nightjar","Caprimulgidae (Nightjars)","LC"
"1016888","Systellura roraimae","Tepui Nightjar","Caprimulgidae (Nightjars)","LC"
"1016543","Systellura longirostris","Greater Band-winged Nightjar","Caprimulgidae (Nightjars)","LC"
"2371","Nyctidromus albicollis","Pauraque","Caprimulgidae (Nightjars)","LC"
"2440","Eleothreptus anomalus","Sickle-winged Nightjar","Caprimulgidae (Nightjars)","VU"
"2390","Eleothreptus candicans","White-winged Nightjar","Caprimulgidae (Nightjars)","VU"
"32356","Setopagis parvula","Little Nightjar","Caprimulgidae (Nightjars)","LC"
"2396","Setopagis whitelyi","Roraiman Nightjar","Caprimulgidae (Nightjars)","LC"
"2435","Hydropsalis climacocerca","Ladder-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
"2436","Hydropsalis torquata","Scissor-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
"2389","Hydropsalis cayennensis","White-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
"2391","Hydropsalis maculicaudus","Spot-tailed Nightjar","Caprimulgidae (Nightjars)","LC"
