Geral		Nome cientifico	Nome Popular	Categoria de Ameaca
111		Tinamus tao (Temminck, 1815)	Azulona	VU
112	*	Crypturellus noctivagus noctivagus (Wied, 1820)	Jaó-do-sul	VU
113		Crypturellus noctivagus zabele (Spix, 1825)	Zabelê	VU
114	*	Nothura minor (Spix, 1825)	Codorna-mineira	EN
115	*	Taoniscus nanus (Temminck, 1815)	Inhambu-carapé	EN
116	*	Mergus octosetaceus (Vieillot, 1817)	Pato-mergulhão	CR
117	*	Penelope superciliaris alagoensis (Nardelli, 1993)	Jacupemba	CR
118	*	Penelope ochrogaster (Pelzeln, 1870)	Jacu-de-barriga-castanha	VU
119		Penelope pileata (Wagler, 1830)	Jacupiranga	VU
120	*	Penelope jacucaca (Spix, 1825)	Jacucaca	VU
121	*	Aburria jacutinga (Spix, 1825)	Jacutinga	EN
122		Ortalis guttata remota (Pinto, 1960)	Aracuã	CR
123	*	Crax blumenbachii (Spix, 1825)	Mutum-de-bico-vermelho	CR
124		Crax globulosa (Spix, 1825)	Mutum-de-fava	EN
125	*	Crax fasciolata pinima (Pelzeln, 1870)	Mutum-pinima	CR
126	*	Pauxi mitu (Linnaeus, 1766)	Mutum-do-nordeste	EW
127	*	Odontophorus capueira plumbeicollis (Cory, 1915)	Uru	CR
128	*	Diomedea dabbenena (Mathews, 1929)	Albatroz-de-tristão	CR
129	*	Diomedea epomophora (Lesson, 1825)	Albatroz-real	VU
130	*	Diomedea exulans (Linnaeus, 1758)	Albatroz-errante	CR
131	*	Diomedea sanfordi (Murphy, 1917)	Albatroz-real-do-norte	EN
132	*	Thalassarche chlororhynchos (Gmelin, 1789)	Albatroz-de-nariz-amarelo	EN
133	*	Procellaria aequinoctialis (Linnaeus, 1758)	Pardela-preta	VU
134	*	Procellaria conspicillata (Gould, 1844)	Pardela-de-óculos	VU
135	*	Pterodroma arminjoniana (Giglioli & Salvatori, 1869)	Grazina-de-trindade	CR
136		Pterodroma deserta (Mathews, 1934)	Grazina-de-desertas	CR
137	*	Pterodroma incerta (Schlegel, 1863)	Grazina-de-barrigabranca	EN
138		Pterodroma madeira (Mathews, 1934)	Grazina-da-madeira	EN
139	*	Puffinus lherminieri (Lesson, 1839)	Pardela de asa-larga	CR
140	*	Phaethon aethereus (Linnaeus, 1758)	Rabo-de-palha-de-bicovermelho	EN
141	*	Phaethon lepturus (Daudin, 1802)	Rabo-de-palha-de-bicolaranja	EN
142	*	Fregata ariel (Gray, 1845)	Tesourão-pequeno	CR
143	*	Fregata minor (Gmelin, 1789)	Tesourão-grande	CR
144		Sula sula (Linnaeus, 1766)	Atobá-de-pé-vermelho	EN
145	*	Tigrisoma fasciatum (Such, 1825)	Socó-boi-escuro	VU
146	*	Amadonastur lacernulatus (Temminck, 1827)	Gavião-pombo-pequeno	VU
147		Leptodon forbesi (Swann, 1922)	Gavião-de-pescoçobranco	EN
